1. schůze, 1. hlasování, 20. listopadu 2017, 13:53Inf. o ustavení volební komise PS a volbě členů
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
2. schůze, 39. hlasování, 28. listopadu 2017, 18:32Návrh na zřízení Stálé komise pro kontrolu BIS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,1,63,4,9,1
ODS,25,14,0,8,3,0
Pirati,22,21,0,0,0,1
SPD,22,0,20,0,1,1
CSSD,15,8,0,1,2,4
KSCM,15,1,6,0,7,1
KDU-CSL,10,9,0,0,0,1
TOP09,7,4,0,1,1,1
STAN,6,5,0,0,1,0
Celkem,200,63,89,14,24,10
2. schůze, 40. hlasování, 28. listopadu 2017, 18:32Návrh na zřízení Stálé komise pro kontrolu BIS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,73,0,3,1,1
ODS,25,0,13,8,4,0
Pirati,22,0,19,0,2,1
SPD,22,21,0,0,0,1
CSSD,15,0,4,1,6,4
KSCM,15,11,0,0,3,1
KDU-CSL,10,0,9,0,0,1
TOP09,7,0,5,1,0,1
STAN,6,0,5,0,1,0
Celkem,200,105,55,13,17,10
2. schůze, 41. hlasování, 28. listopadu 2017, 18:37Návrh na zřízení stálé komise pro kontrolu NBÚ
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,1,64,5,7,1
ODS,25,15,0,8,2,0
Pirati,22,20,0,0,1,1
SPD,22,0,21,0,0,1
CSSD,15,8,0,1,2,4
KSCM,15,1,7,0,6,1
KDU-CSL,10,9,0,0,0,1
TOP09,7,3,1,1,1,1
STAN,6,4,0,0,2,0
Celkem,200,61,93,15,21,10
2. schůze, 42. hlasování, 28. listopadu 2017, 18:38Návrh na zřízení stálé komise pro kontrolu NBÚ
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,66,0,5,6,1
ODS,25,0,13,8,4,0
Pirati,22,0,20,0,1,1
SPD,22,21,0,0,0,1
CSSD,15,0,4,1,6,4
KSCM,15,11,0,0,3,1
KDU-CSL,10,0,8,0,1,1
TOP09,7,1,3,1,1,1
STAN,6,0,3,0,3,0
Celkem,200,99,51,15,25,10
2. schůze, 43. hlasování, 28. listopadu 2017, 18:41Návrh na zřízení Stálé komise pro kontrolu VZ
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,1,70,3,3,1
ODS,25,14,0,8,3,0
Pirati,22,19,0,1,1,1
SPD,22,0,20,1,0,1
CSSD,15,8,0,1,2,4
KSCM,15,1,7,0,6,1
KDU-CSL,10,8,0,0,1,1
TOP09,7,4,0,1,1,1
STAN,6,4,0,0,2,0
Celkem,200,59,97,15,19,10
2. schůze, 44. hlasování, 28. listopadu 2017, 18:42Návrh na zřízení Stálé komise pro kontrolu VZ
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,73,0,3,1,1
ODS,25,0,14,8,3,0
Pirati,22,0,19,1,1,1
SPD,22,20,0,1,0,1
CSSD,15,0,4,1,6,4
KSCM,15,11,0,0,3,1
KDU-CSL,10,0,8,0,1,1
TOP09,7,0,4,1,1,1
STAN,6,0,4,0,2,0
Celkem,200,104,53,15,18,10
2. schůze, 45. hlasování, 28. listopadu 2017, 18:45Návrh na zřízení SK FAÚ
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,1,70,3,3,1
ODS,25,16,0,8,1,0
Pirati,22,20,0,0,1,1
SPD,22,0,21,0,0,1
CSSD,15,9,0,1,1,4
KSCM,15,1,7,0,6,1
KDU-CSL,10,8,0,0,1,1
TOP09,7,3,0,1,2,1
STAN,6,5,0,0,1,0
Celkem,200,63,98,13,16,10
2. schůze, 46. hlasování, 28. listopadu 2017, 18:45Návrh na zřízení SK FAÚ
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,74,0,3,0,1
ODS,25,0,15,8,2,0
Pirati,22,0,20,0,1,1
SPD,22,21,0,0,0,1
CSSD,15,0,5,1,5,4
KSCM,15,13,0,0,1,1
KDU-CSL,10,0,8,0,1,1
TOP09,7,0,4,1,1,1
STAN,6,0,5,0,1,0
Celkem,200,108,57,13,12,10
2. schůze, 47. hlasování, 28. listopadu 2017, 18:50Návrh na zřízení SK NÚKIB
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,72,3,2,1
ODS,25,16,0,8,1,0
Pirati,22,20,0,0,1,1
SPD,22,0,21,0,0,1
CSSD,15,9,0,1,1,4
KSCM,15,1,6,0,7,1
KDU-CSL,10,8,0,0,1,1
TOP09,7,3,0,1,2,1
STAN,6,5,0,0,1,0
Celkem,200,62,99,13,16,10
2. schůze, 48. hlasování, 28. listopadu 2017, 18:50Návrh na zřízení SK NÚKIB
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,72,0,3,2,1
ODS,25,0,16,8,1,0
Pirati,22,0,20,0,1,1
SPD,22,21,0,0,0,1
CSSD,15,0,5,1,5,4
KSCM,15,11,0,0,3,1
KDU-CSL,10,0,8,0,1,1
TOP09,7,0,3,1,2,1
STAN,6,0,5,0,1,0
Celkem,200,104,57,13,16,10
2. schůze, 49. hlasování, 28. listopadu 2017, 19:12Návrh na stanovení počtu poslanců ve stálých delegacích
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,61,3,5,8,1
ODS,25,12,0,9,4,0
Pirati,22,17,0,1,3,1
SPD,22,20,0,0,1,1
CSSD,15,9,0,1,1,4
KSCM,15,12,0,0,2,1
KDU-CSL,10,8,0,0,1,1
TOP09,7,2,0,2,2,1
STAN,6,5,0,0,1,0
Celkem,200,146,3,18,23,10
2. schůze, 50. hlasování, 28. listopadu 2017, 19:33Návrh na úhradu volebních nákladů za volby do PS v roce 2013
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,62,0,14,1,1
ODS,25,13,0,12,0,0
Pirati,22,18,0,2,1,1
SPD,22,19,0,1,1,1
CSSD,15,8,0,3,0,4
KSCM,15,12,0,2,0,1
KDU-CSL,10,9,0,0,0,1
TOP09,7,4,0,2,0,1
STAN,6,4,0,2,0,0
Celkem,200,149,0,38,3,10
2. schůze, 51. hlasování, 30. listopadu 2017, 09:04Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,64,0,7,2,5
ODS,25,17,0,5,1,2
Pirati,22,16,0,3,1,2
SPD,22,20,0,0,0,2
CSSD,15,6,0,2,0,7
KSCM,15,10,0,4,0,1
KDU-CSL,10,7,0,0,0,3
TOP09,7,4,0,1,0,2
STAN,6,5,0,1,0,0
Celkem,200,149,0,23,4,24
2. schůze, 52. hlasování, 30. listopadu 2017, 09:09Náv. na potvrzení předsedů výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,10,1,2,60,5
ODS,25,14,0,2,7,2
Pirati,22,7,0,1,12,2
SPD,22,1,0,0,19,2
CSSD,15,6,0,1,1,7
KSCM,15,7,0,1,6,1
KDU-CSL,10,7,0,0,0,3
TOP09,7,4,0,1,0,2
STAN,6,4,0,0,2,0
Celkem,200,60,1,8,107,24
2. schůze, 53. hlasování, 30. listopadu 2017, 09:10Náv. na potvrzení předsedů výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,8,47,4,14,5
ODS,25,22,0,1,0,2
Pirati,22,19,0,0,1,2
SPD,22,0,20,0,0,2
CSSD,15,6,0,1,1,7
KSCM,15,8,1,1,4,1
KDU-CSL,10,7,0,0,0,3
TOP09,7,4,0,1,0,2
STAN,6,5,0,1,0,0
Celkem,200,79,68,9,20,24
2. schůze, 54. hlasování, 30. listopadu 2017, 09:12Náv. na potvrzení předsedů výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,71,0,2,0,5
ODS,25,22,0,0,1,2
Pirati,22,19,0,0,1,2
SPD,22,19,0,0,1,2
CSSD,15,6,0,1,1,7
KSCM,15,13,0,1,0,1
KDU-CSL,10,7,0,0,0,3
TOP09,7,4,0,1,0,2
STAN,6,5,0,1,0,0
Celkem,200,166,0,6,4,24
2. schůze, 55. hlasování, 30. listopadu 2017, 09:16Náv. na potvrzení předsedů výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,71,0,2,0,5
ODS,25,22,0,0,1,2
Pirati,22,20,0,0,0,2
SPD,22,20,0,0,0,2
CSSD,15,7,0,1,0,7
KSCM,15,13,0,1,0,1
KDU-CSL,10,6,0,0,1,3
TOP09,7,3,0,1,1,2
STAN,6,6,0,0,0,0
Celkem,200,168,0,5,3,24
2. schůze, 56. hlasování, 30. listopadu 2017, 09:16Náv. na potvrzení předsedů výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,71,0,2,0,5
ODS,25,11,0,0,12,2
Pirati,22,15,1,0,4,2
SPD,22,20,0,0,0,2
CSSD,15,7,0,1,0,7
KSCM,15,13,0,1,0,1
KDU-CSL,10,6,0,0,1,3
TOP09,7,4,0,1,0,2
STAN,6,6,0,0,0,0
Celkem,200,153,1,5,17,24
2. schůze, 57. hlasování, 30. listopadu 2017, 09:17Náv. na potvrzení předsedů výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,71,0,2,0,5
ODS,25,23,0,0,0,2
Pirati,22,18,0,0,2,2
SPD,22,20,0,0,0,2
CSSD,15,7,0,1,0,7
KSCM,15,13,0,1,0,1
KDU-CSL,10,6,0,0,1,3
TOP09,7,4,0,1,0,2
STAN,6,6,0,0,0,0
Celkem,200,168,0,5,3,24
2. schůze, 58. hlasování, 30. listopadu 2017, 09:18Náv. na potvrzení předsedů výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,68,0,2,3,5
ODS,25,23,0,0,0,2
Pirati,22,20,0,0,0,2
SPD,22,20,0,0,0,2
CSSD,15,7,0,1,0,7
KSCM,15,13,0,1,0,1
KDU-CSL,10,6,0,0,1,3
TOP09,7,4,0,1,0,2
STAN,6,6,0,0,0,0
Celkem,200,167,0,5,4,24
2. schůze, 59. hlasování, 30. listopadu 2017, 09:18Náv. na potvrzení předsedů výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,71,0,2,0,5
ODS,25,23,0,0,0,2
Pirati,22,20,0,0,0,2
SPD,22,20,0,0,0,2
CSSD,15,7,0,1,0,7
KSCM,15,13,0,1,0,1
KDU-CSL,10,6,0,0,1,3
TOP09,7,4,0,1,0,2
STAN,6,6,0,0,0,0
Celkem,200,170,0,5,1,24
2. schůze, 60. hlasování, 30. listopadu 2017, 09:19Náv. na potvrzení předsedů výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,71,0,2,0,5
ODS,25,21,1,0,1,2
Pirati,22,13,3,0,4,2
SPD,22,19,0,0,1,2
CSSD,15,2,0,0,6,7
KSCM,15,13,0,1,0,1
KDU-CSL,10,5,0,0,2,3
TOP09,7,4,0,1,0,2
STAN,6,6,0,0,0,0
Celkem,200,154,4,4,14,24
2. schůze, 61. hlasování, 30. listopadu 2017, 09:19Náv. na potvrzení předsedů výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,71,0,2,0,5
ODS,25,23,0,0,0,2
Pirati,22,20,0,0,0,2
SPD,22,20,0,0,0,2
CSSD,15,8,0,0,0,7
KSCM,15,12,0,1,1,1
KDU-CSL,10,6,0,0,1,3
TOP09,7,4,0,1,0,2
STAN,6,6,0,0,0,0
Celkem,200,170,0,4,2,24
2. schůze, 62. hlasování, 30. listopadu 2017, 09:20Náv. na potvrzení předsedů výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,71,0,2,0,5
ODS,25,23,0,0,0,2
Pirati,22,16,0,0,4,2
SPD,22,20,0,0,0,2
CSSD,15,8,0,0,0,7
KSCM,15,13,0,1,0,1
KDU-CSL,10,6,0,0,1,3
TOP09,7,4,0,1,0,2
STAN,6,6,0,0,0,0
Celkem,200,167,0,4,5,24
2. schůze, 63. hlasování, 30. listopadu 2017, 09:21Náv. na potvrzení předsedů výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,2,0,2,69,5
ODS,25,1,0,0,22,2
Pirati,22,0,1,0,19,2
SPD,22,0,0,0,20,2
CSSD,15,0,1,1,6,7
KSCM,15,11,0,1,2,1
KDU-CSL,10,0,0,0,7,3
TOP09,7,0,0,1,4,2
STAN,6,1,0,0,5,0
Celkem,200,15,2,5,154,24
2. schůze, 64. hlasování, 30. listopadu 2017, 09:27Náv. na potvrzení předsedů výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,62,0,2,9,5
ODS,25,1,20,0,2,2
Pirati,22,0,18,0,2,2
SPD,22,20,0,0,0,2
CSSD,15,0,6,1,1,7
KSCM,15,12,0,1,1,1
KDU-CSL,10,0,4,0,3,3
TOP09,7,0,4,1,0,2
STAN,6,0,6,0,0,0
Celkem,200,95,58,5,18,24
2. schůze, 65. hlasování, 30. listopadu 2017, 09:28Náv. na potvrzení předsedů výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,71,0,2,0,5
ODS,25,23,0,0,0,2
Pirati,22,20,0,0,0,2
SPD,22,20,0,0,0,2
CSSD,15,8,0,0,0,7
KSCM,15,13,0,1,0,1
KDU-CSL,10,6,0,0,1,3
TOP09,7,4,0,1,0,2
STAN,6,6,0,0,0,0
Celkem,200,171,0,4,1,24
2. schůze, 66. hlasování, 30. listopadu 2017, 09:28Náv. na potvrzení předsedů výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,71,0,2,0,5
ODS,25,23,0,0,0,2
Pirati,22,20,0,0,0,2
SPD,22,20,0,0,0,2
CSSD,15,8,0,0,0,7
KSCM,15,13,0,1,0,1
KDU-CSL,10,6,0,0,1,3
TOP09,7,4,0,1,0,2
STAN,6,5,0,0,1,0
Celkem,200,170,0,4,2,24
2. schůze, 67. hlasování, 30. listopadu 2017, 09:29Náv. na potvrzení předsedů výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,71,0,1,1,5
ODS,25,23,0,0,0,2
Pirati,22,7,2,0,11,2
SPD,22,20,0,0,0,2
CSSD,15,8,0,0,0,7
KSCM,15,13,0,1,0,1
KDU-CSL,10,6,0,0,1,3
TOP09,7,4,0,1,0,2
STAN,6,6,0,0,0,0
Celkem,200,158,2,3,13,24
2. schůze, 68. hlasování, 30. listopadu 2017, 09:30Náv. na potvrzení předsedů výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,71,0,1,1,5
ODS,25,21,1,0,1,2
Pirati,22,20,0,0,0,2
SPD,22,20,0,0,0,2
CSSD,15,7,0,0,1,7
KSCM,15,13,0,1,0,1
KDU-CSL,10,6,0,0,1,3
TOP09,7,4,0,1,0,2
STAN,6,6,0,0,0,0
Celkem,200,168,1,3,4,24
2. schůze, 69. hlasování, 30. listopadu 2017, 09:30Náv. na potvrzení předsedů výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,72,0,1,0,5
ODS,25,21,1,0,1,2
Pirati,22,20,0,0,0,2
SPD,22,20,0,0,0,2
CSSD,15,7,0,0,1,7
KSCM,15,13,0,1,0,1
KDU-CSL,10,6,0,0,1,3
TOP09,7,4,0,1,0,2
STAN,6,6,0,0,0,0
Celkem,200,169,1,3,3,24
2. schůze, 70. hlasování, 30. listopadu 2017, 09:31Náv. na potvrzení předsedů výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,72,0,1,0,5
ODS,25,21,0,1,1,2
Pirati,22,3,4,0,13,2
SPD,22,20,0,0,0,2
CSSD,15,8,0,0,0,7
KSCM,15,13,0,1,0,1
KDU-CSL,10,5,0,0,2,3
TOP09,7,4,0,2,0,1
STAN,6,6,0,0,0,0
Celkem,200,152,4,5,16,23
2. schůze, 71. hlasování, 30. listopadu 2017, 09:38Návrh časového harmonogramu projednávání SR 2018
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,72,0,1,0,5
ODS,25,21,0,0,2,2
Pirati,22,21,0,0,0,1
SPD,22,20,0,0,0,2
CSSD,15,6,0,1,1,7
KSCM,15,12,0,1,1,1
KDU-CSL,10,5,0,0,2,3
TOP09,7,4,0,1,1,1
STAN,6,4,0,0,2,0
Celkem,200,165,0,4,9,22
2. schůze, 72. hlasování, 30. listopadu 2017, 09:41Žádost o vyslovení souhlasu s tr. stíháním poslanců
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,71,0,1,1,5
ODS,25,19,0,0,4,2
Pirati,22,21,0,0,0,1
SPD,22,17,0,0,3,2
CSSD,15,5,0,1,2,7
KSCM,15,13,0,1,0,1
KDU-CSL,10,4,0,1,2,3
TOP09,7,5,0,1,0,1
STAN,6,3,0,0,3,0
Celkem,200,158,0,5,15,22
2. schůze, 73. hlasování, 30. listopadu 2017, 09:44Žádost o vyslovení souhlasu PS k trestnímu stíhání poslance
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,70,0,1,2,5
ODS,25,19,1,0,3,2
Pirati,22,21,0,0,0,1
SPD,22,20,0,0,0,2
CSSD,15,6,0,1,1,7
KSCM,15,13,0,1,0,1
KDU-CSL,10,6,0,1,0,3
TOP09,7,5,0,1,0,1
STAN,6,5,0,0,1,0
Celkem,200,165,1,5,7,22
2. schůze, 74. hlasování, 30. listopadu 2017, 09:47Návrh na změny ve složení orgánů Poslanecké sněmovny
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,71,0,1,1,5
ODS,25,22,0,0,1,2
Pirati,22,21,0,0,0,1
SPD,22,20,0,0,0,2
CSSD,15,6,0,1,1,7
KSCM,15,13,0,1,0,1
KDU-CSL,10,6,0,1,0,3
TOP09,7,6,0,0,0,1
STAN,6,5,0,0,1,0
Celkem,200,170,0,4,4,22
3. schůze, 1. hlasování, 5. prosince 2017, 14:01
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,52,0,23,0,3
ODS,25,14,0,10,1,0
Pirati,22,18,0,3,1,0
SPD,22,19,0,2,0,1
CSSD,15,6,0,5,0,4
KSCM,15,12,0,3,0,0
KDU-CSL,10,5,0,4,0,1
TOP09,7,1,0,4,1,1
STAN,6,4,0,0,0,2
Celkem,200,131,0,54,3,12
3. schůze, 2. hlasování, 5. prosince 2017, 14:06
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,63,0,12,0,3
ODS,25,22,0,3,0,0
Pirati,22,2,11,0,9,0
SPD,22,20,0,0,1,1
CSSD,15,9,0,2,0,4
KSCM,15,13,0,2,0,0
KDU-CSL,10,7,0,2,0,1
TOP09,7,5,0,1,0,1
STAN,6,4,0,0,0,2
Celkem,200,145,11,22,10,12
3. schůze, 3. hlasování, 5. prosince 2017, 17:23Vl.n.z. o státním rozpočtu ČR na rok 2018
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,11,4,61,2
ODS,25,0,0,3,22,0
Pirati,22,0,0,0,22,0
SPD,22,0,0,1,20,1
CSSD,15,0,7,1,4,3
KSCM,15,0,13,0,2,0
KDU-CSL,10,0,3,1,5,1
TOP09,7,5,0,1,0,1
STAN,6,3,0,0,1,2
Celkem,200,8,34,11,137,10
3. schůze, 4. hlasování, 5. prosince 2017, 17:24Vl.n.z. o státním rozpočtu ČR na rok 2018
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,73,2,1,2
ODS,25,0,2,3,20,0
Pirati,22,0,0,0,22,0
SPD,22,0,0,1,20,1
CSSD,15,0,11,1,0,3
KSCM,15,0,15,0,0,0
KDU-CSL,10,0,6,1,2,1
TOP09,7,5,0,1,0,1
STAN,6,4,0,0,0,2
Celkem,200,9,107,9,65,10
3. schůze, 5. hlasování, 5. prosince 2017, 17:30Vl.n.z. o státním rozpočtu ČR na rok 2018
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,74,0,1,1,2
ODS,25,0,23,2,0,0
Pirati,22,0,0,0,22,0
SPD,22,21,0,0,0,1
CSSD,15,12,0,0,0,3
KSCM,15,0,0,1,14,0
KDU-CSL,10,9,0,0,0,1
TOP09,7,0,5,1,0,1
STAN,6,0,4,0,0,2
Celkem,200,116,32,5,37,10
3. schůze, 6. hlasování, 5. prosince 2017, 17:31Vl.n.z. o státním rozpočtu ČR na rok 2018
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,75,0,1,0,2
ODS,25,22,0,2,1,0
Pirati,22,18,0,0,4,0
SPD,22,21,0,0,0,1
CSSD,15,12,0,0,0,3
KSCM,15,6,0,1,8,0
KDU-CSL,10,9,0,0,0,1
TOP09,7,1,1,1,3,1
STAN,6,3,1,0,0,2
Celkem,200,167,2,5,16,10
3. schůze, 7. hlasování, 5. prosince 2017, 18:25Novela z. o léčivech - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,64,0,5,5,4
ODS,25,15,1,2,7,0
Pirati,22,22,0,0,0,0
SPD,22,18,0,0,3,1
CSSD,15,4,0,1,7,3
KSCM,15,3,0,1,11,0
KDU-CSL,10,3,0,1,5,1
TOP09,7,3,0,1,2,1
STAN,6,2,0,0,2,2
Celkem,200,134,1,11,42,12
3. schůze, 8. hlasování, 5. prosince 2017, 19:32Novela z. o léčivech - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,60,0,10,4,4
ODS,25,21,0,4,0,0
Pirati,22,22,0,0,0,0
SPD,22,18,0,1,2,1
CSSD,15,8,0,3,0,4
KSCM,15,13,0,2,0,0
KDU-CSL,10,5,0,3,1,1
TOP09,7,4,0,2,0,1
STAN,6,4,0,0,0,2
Celkem,200,155,0,25,7,13
3. schůze, 9. hlasování, 5. prosince 2017, 19:35Novela z. o léčivech - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,2,61,10,1,4
ODS,25,21,0,4,0,0
Pirati,22,22,0,0,0,0
SPD,22,18,0,3,0,1
CSSD,15,0,8,3,0,4
KSCM,15,0,12,2,1,0
KDU-CSL,10,6,0,3,0,1
TOP09,7,4,0,2,0,1
STAN,6,3,0,1,0,2
Celkem,200,76,81,28,2,13
3. schůze, 10. hlasování, 5. prosince 2017, 19:36Novela z. o léčivech - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,1,62,10,1,4
ODS,25,21,0,4,0,0
Pirati,22,22,0,0,0,0
SPD,22,18,0,3,0,1
CSSD,15,0,8,3,0,4
KSCM,15,0,12,2,1,0
KDU-CSL,10,6,0,3,0,1
TOP09,7,4,0,2,0,1
STAN,6,4,0,0,0,2
Celkem,200,76,82,27,2,13
3. schůze, 11. hlasování, 5. prosince 2017, 19:37Novela z. o léčivech - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,64,0,10,0,4
ODS,25,0,0,4,21,0
Pirati,22,2,1,0,19,0
SPD,22,0,0,3,18,1
CSSD,15,8,0,3,0,4
KSCM,15,13,0,2,0,0
KDU-CSL,10,0,0,3,6,1
TOP09,7,0,1,2,3,1
STAN,6,0,0,0,4,2
Celkem,200,87,2,27,71,13
3. schůze, 12. hlasování, 5. prosince 2017, 19:39
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,59,0,11,4,4
ODS,25,20,0,4,1,0
Pirati,22,0,20,0,2,0
SPD,22,18,0,3,0,1
CSSD,15,7,1,3,0,4
KSCM,15,4,3,3,5,0
KDU-CSL,10,6,0,3,0,1
TOP09,7,2,0,2,2,1
STAN,6,2,0,0,2,2
Celkem,200,118,24,29,16,13
4. schůze, 1. hlasování, 12. prosince 2017, 14:03
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,59,0,9,5,5
ODS,25,18,0,3,2,2
Pirati,22,20,0,1,0,1
SPD,22,12,0,7,1,2
CSSD,15,8,0,4,0,3
KSCM,15,11,0,2,2,0
KDU-CSL,10,3,0,5,1,1
TOP09,7,3,0,1,0,3
STAN,6,5,0,1,0,0
Celkem,200,139,0,33,11,17
4. schůze, 2. hlasování, 12. prosince 2017, 14:18Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,70,0,1,2,5
ODS,25,22,0,0,1,2
Pirati,22,19,0,0,2,1
SPD,22,18,0,0,2,2
CSSD,15,11,0,0,1,3
KSCM,15,14,0,1,0,0
KDU-CSL,10,8,0,1,0,1
TOP09,7,3,0,0,1,3
STAN,6,5,0,0,1,0
Celkem,200,170,0,3,10,17
4. schůze, 3. hlasování, 12. prosince 2017, 14:19Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,4,30,5,34,5
ODS,25,21,0,1,1,2
Pirati,22,0,0,0,21,1
SPD,22,20,0,0,0,2
CSSD,15,2,1,0,9,3
KSCM,15,15,0,0,0,0
KDU-CSL,10,7,1,1,0,1
TOP09,7,0,0,0,4,3
STAN,6,1,0,1,4,0
Celkem,200,70,32,8,73,17
4. schůze, 4. hlasování, 12. prosince 2017, 14:33Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,71,0,2,0,5
ODS,25,16,0,0,7,2
Pirati,22,20,0,0,1,1
SPD,22,18,0,0,2,2
CSSD,15,12,0,0,0,3
KSCM,15,15,0,0,0,0
KDU-CSL,10,7,0,1,1,1
TOP09,7,3,0,0,1,3
STAN,6,5,0,0,1,0
Celkem,200,167,0,3,13,17
4. schůze, 5. hlasování, 12. prosince 2017, 14:37Návrh na ustavení nebo volbu členů stálých komisí PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,71,0,1,1,5
ODS,25,23,0,0,0,2
Pirati,22,20,0,0,1,1
SPD,22,18,0,0,2,2
CSSD,15,12,0,0,0,3
KSCM,15,15,0,0,0,0
KDU-CSL,10,7,0,1,1,1
TOP09,7,4,0,0,0,3
STAN,6,5,0,0,1,0
Celkem,200,175,0,2,6,17
4. schůze, 6. hlasování, 12. prosince 2017, 14:39Návrh na ustavení nebo volbu členů stálých komisí PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,70,0,1,2,5
ODS,25,23,0,0,0,2
Pirati,22,21,0,0,0,1
SPD,22,19,0,0,1,2
CSSD,15,12,0,0,0,3
KSCM,15,15,0,0,0,0
KDU-CSL,10,8,0,1,0,1
TOP09,7,3,0,0,1,3
STAN,6,5,0,0,1,0
Celkem,200,176,0,2,5,17
4. schůze, 7. hlasování, 12. prosince 2017, 14:42Návrh na ustavení nebo volbu členů stálých komisí PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,70,0,1,2,5
ODS,25,23,0,0,0,2
Pirati,22,21,0,0,0,1
SPD,22,20,0,0,0,2
CSSD,15,12,0,0,0,3
KSCM,15,14,0,0,1,0
KDU-CSL,10,7,0,1,1,1
TOP09,7,4,0,0,0,3
STAN,6,5,0,0,1,0
Celkem,200,176,0,2,5,17
4. schůze, 8. hlasování, 12. prosince 2017, 14:45Návrh na volbu členů nebo ustavení SK GIBS
