1. schůze, 1. hlasování, 20. listopadu 2017, 13:53Inf. o ustavení volební komise PS a volbě členů
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
KDU-CSL,10,0,9,0,0,1
TOP09,7,0,3,0,2,2
STAN,6,0,6,0,0,0
Celkem,200,108,60,5,16,11
2. schůze, 28. hlasování, 28. listopadu 2017, 17:44Návrh na zřízení SK GIBS a způsobu jejího ustavení nebo volby
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,0,1,76,1
ODS,25,1,0,3,21,0
Pirati,22,0,0,0,21,1
SPD,22,0,0,0,21,1
CSSD,15,0,0,1,10,4
KSCM,15,0,0,0,14,1
KDU-CSL,10,0,0,0,9,1
TOP09,7,0,0,0,5,2
STAN,6,1,0,0,5,0
Celkem,200,2,0,5,182,11
2. schůze, 29. hlasování, 28. listopadu 2017, 17:45Návrh na zřízení SK GIBS a způsobu jejího ustavení nebo volby
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,2,64,3,7,2
ODS,25,18,0,7,0,0
Pirati,22,20,0,1,0,1
SPD,22,0,21,0,0,1
CSSD,15,9,0,2,0,4
KSCM,15,1,8,0,5,1
KDU-CSL,10,9,0,0,0,1
TOP09,7,4,0,1,0,2
STAN,6,5,0,0,1,0
Celkem,200,68,93,14,13,12
2. schůze, 30. hlasování, 28. listopadu 2017, 17:46Návrh na zřízení SK GIBS a způsobu jejího ustavení nebo volby
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,73,0,2,1,2
ODS,25,0,16,7,2,0
Pirati,22,0,16,1,4,1
SPD,22,21,0,0,0,1
CSSD,15,0,3,2,6,4
KSCM,15,14,0,0,0,1
KDU-CSL,10,0,8,0,1,1
TOP09,7,0,4,1,0,2
STAN,6,0,6,0,0,0
Celkem,200,108,53,13,14,12
2. schůze, 31. hlasování, 28. listopadu 2017, 17:51Návrh na zřízení SK KPO
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,3,68,3,3,1
ODS,25,18,0,7,0,0
Pirati,22,20,0,1,0,1
SPD,22,0,21,0,0,1
CSSD,15,7,0,2,2,4
KSCM,15,0,8,0,6,1
KDU-CSL,10,9,0,0,0,1
TOP09,7,4,0,1,0,2
